Job id,Model,Sample rate,init noise,Dataset rows,Unique rows,Handle Dups,Best fitness,Mean best fitness,Comments
7854298,Ridge(alpha=2),0.0,0.1,,,ignore,-5253.0,-4916.5,
7854299,Ridge(alpha=2),0.0,0.1,,,ignore,-4793.0,,
7854300,Ridge(alpha=2),0.0,0.1,,,ignore,-5210.0,,
8607393,Ridge(alpha=2),0.0,0.1,1000.0,762.0,ignore,-5075.0,,
8607394,Ridge(alpha=2),0.0,0.1,1000.0,724.0,ignore,-4487.0,,
8607395,Ridge(alpha=2),0.0,0.1,1000.0,769.0,ignore,-4681.0,,
9254102,Ridge(alpha=2),0.0,0.25,,748.0,ignore,,#DIV/0!,
9254103,Ridge(alpha=2),0.0,0.25,,758.0,ignore,,,
7854301,Ridge(alpha=2),0.1,0.1,,,ignore,-4306.0,-4323.666667,
7854302,Ridge(alpha=2),0.1,0.1,,,ignore,-4021.0,,
7854303,Ridge(alpha=2),0.1,0.1,,,ignore,-4447.0,,
8607396,Ridge(alpha=2),0.1,0.1,4820.0,1593.0,ignore,-4444.0,,
8607397,Ridge(alpha=2),0.1,0.1,4820.0,1559.0,ignore,-4368.0,,
8607398,Ridge(alpha=2),0.1,0.1,4820.0,1586.0,ignore,-4356.0,,
9254104,Ridge(alpha=2),0.1,0.25,,,ignore,,#DIV/0!,
9254105,Ridge(alpha=2),0.1,0.25,,,ignore,,,
7854304,Ridge(alpha=2),0.2,0.1,,,ignore,-4009.0,-4246.5,
7854305,Ridge(alpha=2),0.2,0.1,,,ignore,-4110.0,,
7854306,Ridge(alpha=2),0.2,0.1,,,ignore,-4191.0,,
8607399,Ridge(alpha=2),0.2,0.1,8600.0,2233.0,ignore,-4214.0,,
8607400,Ridge(alpha=2),0.2,0.1,8600.0,2195.0,ignore,-4522.0,,
8607401,Ridge(alpha=2),0.2,0.1,8600.0,2092.0,ignore,-4433.0,,
8987137,Ridge(alpha=2),0.2,0.25,8600.0,2248.0,ignore,-6056.0,-5944.5,
8987138,Ridge(alpha=2),0.2,0.25,8600.0,2252.0,ignore,-5833.0,,
7854307,Ridge(alpha=2),0.3,0.1,,,ignore,-4325.0,-4373.833333,
7854308,Ridge(alpha=2),0.3,0.1,,,ignore,-4531.0,,
7854309,Ridge(alpha=2),0.3,0.1,,,ignore,-4092.0,,
8607402,Ridge(alpha=2),0.3,0.1,12400.0,2783.0,ignore,-4268.0,,
8607403,Ridge(alpha=2),0.3,0.1,12400.0,2812.0,ignore,-4463.0,,
8607404,Ridge(alpha=2),0.3,0.1,12400.0,2986.0,ignore,-4564.0,,
8987139,Ridge(alpha=2),0.3,0.25,12400.0,2813.0,ignore,-6322.0,-5490.5,
8987140,Ridge(alpha=2),0.3,0.25,12400.0,3062.0,ignore,-4659.0,,
7854310,Ridge(alpha=2),0.4,0.1,,,ignore,-4500.0,-4262.5,
7854311,Ridge(alpha=2),0.4,0.1,,,ignore,-4221.0,,
7854312,Ridge(alpha=2),0.4,0.1,,,ignore,-4404.0,,
8607405,Ridge(alpha=2),0.4,0.1,16280.0,3314.0,ignore,-3716.0,,
8607406,Ridge(alpha=2),0.4,0.1,16280.0,3322.0,ignore,-4202.0,,
8607407,Ridge(alpha=2),0.4,0.1,16280.0,3351.0,ignore,-4532.0,,
8987142,Ridge(alpha=2),0.4,0.25,16040.0,3509.0,ignore,-5297.0,-5609,
8987244,Ridge(alpha=2),0.4,0.25,,3451.0,ignore,-5921.0,,
7854313,Ridge(alpha=2),0.5,0.1,,,ignore,-3853.0,-4160.5,
7854314,Ridge(alpha=2),0.5,0.1,,,ignore,-4221.0,,
7854315,Ridge(alpha=2),0.5,0.1,,,ignore,-4052.0,,
8607410,Ridge(alpha=2),0.5,0.1,20000.0,3896.0,ignore,-4588.0,,
